COD_UF;COD_MUN;COD_ESPECIE;LATITUDE;LONGITUDE;NV_GEO_COORD
35;3526902;1;-22.566109;-47.403751;1
35;3526902;1;-22.566109;-47.403751;1
35;3526902;1;-22.566109;-47.403751;1
35;3526902;1;-22.566109;-47.403751;1
35;3526902;1;-22.566109;-47.403751;1
35;3526902;1;-22.566109;-47.403751;1
35;3526902;1;-22.566109;-47.403751;1
35;3526902;1;-22.566109;-47.403751;1
35;3526902;1;-22.566109;-47.403751;1
35;3526902;1;-22.566109;-47.403751;1
35;3526902;1;-22.566109;-47.403751;1
35;3526902;1;-22.566109;-47.403751;1
35;3526902;1;-22.566109;-47.403751;1
35;3526902;1;-22.566109;-47.403751;1
35;3526902;1;-22.566109;-47.403751;1
35;3526902;1;-22.566109;-47.403751;1
35;3526902;6;-22.566124;-47.404201;1
35;3526902;1;-22.566034;-47.404104;1
35;3526902;6;-22.566034;-47.404104;1
35;3526902;6;-22.565951;-47.404119;1
35;3526902;6;-22.565942;-47.404126;1
35;3526902;6;-22.565918;-47.404254;1
35;3526902;6;-22.565918;-47.404254;1
35;3526902;1;-22.565220;-47.403750;1
35;3526902;6;-22.565263;-47.403814;1
35;3526902;6;-22.565283;-47.403830;1
35;3526902;6;-22.565307;-47.403857;1
35;3526902;1;-22.565308;-47.403928;1
35;3526902;1;-22.565339;-47.403999;1
35;3526902;5;-22.565568;-47.404040;1
35;3526902;6;-22.565568;-47.404341;1
35;3526902;6;-22.565577;-47.404298;1
35;3526902;6;-22.565657;-47.404448;1
35;3526902;6;-22.565471;-47.404354;1
35;3526902;1;-22.565554;-47.404402;1
35;3526902;6;-22.565856;-47.404190;1
35;3526902;6;-22.565715;-47.404333;1
35;3526902;6;-22.565380;-47.404589;1
35;3526902;6;-22.565829;-47.404148;1
35;3526902;6;-22.565829;-47.404148;1
35;3526902;6;-22.565332;-47.404542;1
35;3526902;6;-22.565161;-47.402569;1
35;3526902;6;-22.564951;-47.402769;1
35;3526902;6;-22.564914;-47.402903;1
35;3526902;6;-22.565261;-47.402531;1
35;3526902;1;-22.565460;-47.402623;1
35;3526902;1;-22.565303;-47.402584;1
35;3526902;6;-22.564892;-47.402525;1
35;3526902;1;-22.565686;-47.402845;1
35;3526902;6;-22.565440;-47.403002;1
35;3526902;1;-22.565652;-47.403002;1
35;3526902;1;-22.565652;-47.403002;1
35;3526902;1;-22.565652;-47.403002;1
35;3526902;1;-22.565652;-47.403002;1
35;3526902;1;-22.565652;-47.403002;1
35;3526902;1;-22.565652;-47.403002;1
35;3526902;1;-22.565652;-47.403002;1
35;3526902;1;-22.565652;-47.403002;1
35;3526902;1;-22.565652;-47.403002;1
35;3526902;1;-22.565652;-47.403002;1
35;3526902;1;-22.565652;-47.403002;1
35;3526902;1;-22.565652;-47.403002;1
35;3526902;1;-22.565652;-47.403002;1
35;3526902;1;-22.565652;-47.403002;1
35;3526902;1;-22.565652;-47.403002;1
35;3526902;1;-22.565652;-47.403002;1
35;3526902;1;-22.565652;-47.403002;1
35;3526902;1;-22.565652;-47.403002;1
35;3526902;1;-22.565652;-47.403002;1
35;3526902;1;-22.565652;-47.403002;1
35;3526902;1;-22.565652;-47.403002;1
35;3526902;1;-22.565652;-47.403002;1
